id,exp_id,sch_id_1,sch_id_2,alg,score,realConf,order,h_sch_1,h_sch_2,token_path,term_match,word_net
3,1,0,0,,,,0,,,0,0,0
4,1,3,15,exactMatch,1,1,1,ucla.Course,rit.Course,0.583333,1,1
5,1,4,17,exactMatch,1,1,2,ucla.Course.Title,rit.Course.Title,0.766667,1,1
6,1,8,22,exactMatch,1,1,3,ucla.Course.CourseInfo.Days,rit.Course.Section.Days,0.577381,1,1
7,1,9,23,exactMatch,0.511111,1,4,ucla.Course.CourseInfo.TimeBegin,rit.Course.Section.Time,0.601852,0.511111,0.533422
8,1,10,23,exactMatch,0.6,1,5,ucla.Course.CourseInfo.TimeEnd,rit.Course.Section.Time,0.558562,0.6,0.535429
9,1,11,24,exactMatch,0.99998,1,6,ucla.Course.CourseInfo.Bldg,rit.Course.Section.Building,0.462798,0.99998,1
10,1,12,25,exactMatch,1,1,7,ucla.Course.CourseInfo.Room,rit.Course.Section.Room,0.587798,1,1
11,1,2,14,exactMatch,0,0,8,ucla,rit,0,0,0
12,1,2,15,exactMatch,0.155556,0,9,ucla,rit.Course,0.111111,0.155556,0
13,1,2,16,exactMatch,0.0944444,0,10,ucla,rit.Course.CourseNo,0,0.0944444,0
14,1,2,17,exactMatch,0.176667,0,11,ucla,rit.Course.Title,0.141667,0.176667,0
15,1,2,18,exactMatch,0.15,0,12,ucla,rit.Course.Section,0.119048,0.15,0
16,1,2,19,exactMatch,0.1,0,13,ucla,rit.Course.Section.Link,0,0.1,0
17,1,2,20,exactMatch,0.15,0,14,ucla,rit.Course.Section.Credits,0,0.15,0
18,1,2,21,exactMatch,0.124444,0,15,ucla,rit.Course.Section.Instructor,0.141905,0.124444,0
19,1,2,22,exactMatch,0.1,0,16,ucla,rit.Course.Section.Days,0,0.1,0
20,1,2,23,exactMatch,0,0,17,ucla,rit.Course.Section.Time,0,0,0
21,1,2,24,exactMatch,0.166667,0,18,ucla,rit.Course.Section.Building,0.161905,0.166667,0
22,1,2,25,exactMatch,0,0,19,ucla,rit.Course.Section.Room,0,0,0
23,1,2,26,exactMatch,0.090873,0,20,ucla,rit.Course.Section.SectionNo,0,0.090873,0
24,1,3,14,exactMatch,0.0666667,0,21,ucla.Course,rit,0.111111,0.0666667,0.0613131
25,1,3,16,exactMatch,0.705556,0,22,ucla.Course,rit.Course.CourseNo,0.5,0.705556,1
26,1,3,17,exactMatch,0.157778,0,23,ucla.Course,rit.Course.Title,0.513333,0.157778,0.069262
27,1,3,18,exactMatch,0.268254,0,24,ucla.Course,rit.Course.Section,0.495238,0.268254,0.0769495
28,1,3,19,exactMatch,0,0,25,ucla.Course,rit.Course.Section.Link,0.412698,0,0.0621636
